id,author,title,journal_book,year,type,doi,link,
1,"Adhurya, S., Adhurya, S., Roy, U.S.","Rapid degradation of wetlands and its impact on avifauna: A case study from Ambuja Wetland, West Bengal, India.",Indian BIRDS,2019,journal,NA, https://indianbirds.in/pdfs/IB_15_2_AdhuryaETAL_AmbujaWetland.pdf,
1,"Adhurya, S., Adhurya, S., Roy, S., Roy, U.S.","Report on range extension of eight lesser known avian species from Durgapur Ecoregion, West Bengal, India",Annals of Experimental Biology,2015,journal,NA,https://www.scholarsresearchlibrary.com/archive/aeb-volume-3-issue-4-year-2015.html ,
1,"Adhurya, S., Bhandary, S.","Report of five interesting avian species from Durgapur ecoregion, West Bengal, India by citizen science effort",Journal of Threatened Taxa,2019,journal,10.11609/jott.3980.11.12.14496-14502 ,https://doi.org/10.11609/jott.3980.11.12.14496-14502 ,
1,"Adhurya, S., Gayen, D., Chakrabarty, M., Roy, U.S.","A study of avian diversity in Durgapur Government College Campus, West Bengal, India",The Holistic Approach to Environment,2023,journal,10.33765/thate.13.2.2,https://doi.org/10.33765/thate.13.2.2,
2,"Adhurya, S., Gayen, D., Chakrabarty, M., Roy, U.S.","A study of avian diversity in Durgapur Government College Campus, West Bengal, India",The Holistic Approach to Environment,2023,journal,10.33765/thate.13.2.2,https://doi.org/10.33765/thate.13.2.2,
2,"Makwana, V.M., Khatsuriya, P.A., Matli, A.G., Dodia, P.P.",Composition and Conservation Status of Avifauna in Urban Non-protected Important Bird Area (IBA) Site of Western India.,Journal of Tropical Biodiversity and Biotechnology,2024,journal,10.22146/jtbb.87311,https://doi.org/10.22146/jtbb.87311,
2,"Rashid, G.M., Butt, A., Qadir, A., Ali, M.H.","Avian assemblage along an urban gradient: Diversity, abundance and richness",Ornis Hungarica,2020,journal,10.2478/orhu-2020-0004,https://doi.org/10.2478/orhu-2020-0004,
2,"Jackson, J.D.U., Zefania, S., Moehy, S., Bamford, A.J., Bruford, M.W., Székely, T.","Ecology, conservation, and phylogenetic position of the Madagascar Jacana <i>Actophilornis albinucha</i>",Ostrich,2019,journal,10.2989/00306525.2019.1662508,https://doi.org/10.2989/00306525.2019.1662508,
2,"Gayen, D., Mukherjee, B., Sarkar, S., Goswami, B., Adhurya, S., Chakraborty, M.","Study of winter avifaunal diversity from a man-made reservoir in the West Bengal, India",Journal of Animal Diversity,2022,journal,10.52547/JAD.2022.4.1.7,https://doi.org/10.52547/JAD.2022.4.1.7,
2,"Rather, H.A., Gautam, V.","A study of winter avifaunal diversity in Upper Lake, in the City of Bhopal, Madhya Pradesh, India",Journal of Animal Diversity,2023,journal,10.22034/JAD.2023.5.4.5,https://doi.org/10.22034/JAD.2023.5.4.5,
2,"Ashaharraza, K., Patnaik, A.","Predation by a Black-headed Ibis, Threskiornis melanocephalus (Latham 1790), on a common smooth-scaled Watersnake, Enhydris enhydris (Schneider 1799).",Reptiles & Amphibians,2018,journal,10.17161/randa.v25i3.14295,https://doi.org/10.17161/randa.v25i3.14295,
2,"Mal, J., Keshri, J.P.","Phytoplankton Diversity of Mangalajodi Bird Sanctuary, Odisha",Nelumbo,2023,journal,10.20324/nelumbo/v65/2023/172682,https://doi.org/10.20324/nelumbo/v65/2023/172682,
2,"Choudhary, A., Sinha, S.K., Singh, R.K.","Exploring the birds of Barnawapara Wildlife Sanctuary, Balodabazar district, Chhattisgarh",World Journal of Pharmacy and Pharmaceutical Sciences,2018,journal,10.20959/wjpps20186-11860,https://doi.org/10.20959/wjpps20186-11860,
2,"Devi, G., Sahu, H.K.","A study on anatid population diversity at Mangalajodi and its surrounding marshlands of Chilika Lake, Odisha",International Journal of Creative Research Thoughts (IJCRT),2025,journal,NA,https://ijcrt.org/papers/IJCRT2507811.pdf,
3,"Adhurya, S., Gayen, D., Chakrabarty, M., Roy, U.S.","A study of avian diversity in Durgapur Government College Campus, West Bengal, India",The Holistic Approach to Environment,2023,journal,10.33765/thate.13.2.2,https://doi.org/10.33765/thate.13.2.2,
3,"Samanta, S., Das, D., Mandal, S.","Diversity, status and guild structure of the avifauna in the Ajodhya Foothills, Baghmundi, Purulia, West Bengal, India",Tropical Ecology,2023,journal,10.1007/s42965-022-00265-7,https://doi.org/10.1007/s42965-022-00265-7,
3,"Adhurya, S., Adhurya, S., Roy, U.S.","Rapid degradation of wetlands and its impact on avifauna: A case study from Ambuja Wetland, West Bengal, India.",Indian BIRDS,2019,journal,NA, https://indianbirds.in/pdfs/IB_15_2_AdhuryaETAL_AmbujaWetland.pdf,
3,"Gayen, D., Chatterjee, P., Bhattacharya, T.",A survey on the mammal species from a peri-urban coal mining plateau of Eastern India,Journal of Animal Diversity,2021,journal,10.52547/JAD.2021.3.3.5,https://jad.lu.ac.ir/article_705828.html,
3,"Das, P., Manna, A., Payra, A.","New species for the avifauna of adjoining coastal areas of Purba Medinipur district, West Bengal, India",Ornis Hungarica,2022,journal,10.2478/orhu-2022-0031,https://doi.org/10.2478/orhu-2022-0031,
3,"Pawar, A., Ranade, S.","The Black-headed Bunting Emberiza melanocephalain Chirang District, Assam",Indian BIRDS,2025,journal,10.52547/JAD.2021.3.3.6,indianbirds.in/wp-content/uploads/2025/05/IB_21_1_Pawar_Ranade_BlackheadedBunting.pdf,
4,"Adhurya, S., Adhurya, S., Roy, U.S.","Rapid degradation of wetlands and its impact on avifauna: A case study from Ambuja Wetland, West Bengal, India.",Indian BIRDS,2019,journal,NA, https://indianbirds.in/pdfs/IB_15_2_AdhuryaETAL_AmbujaWetland.pdf,
4,"Ghosh, K.",Late winter study on Avifaunal Diversity from two different regions of North Bengal in India,,2021,journal,NA,https://biology-journal.org/journal/volume1/issue1/ijapb1s-1-11.html,
4,"Gupta, H., Bharos, A.M.K.","First Sighting Record of White-capped Water-redstart Phoenicurus leucocephalus (Family Muscicapidae) from Chhattisgarh, India",Journal of the Bombay Natural History Society (JBNHS),2023,journal,10.17087//jbnhs/2023/v120/169046,https://doi.org/10.17087//jbnhs/2023/v120/169046,
4,"Mukherjee, S., Paul, P., Bandyopadhyay, S.A., Ash, A., Hossain, A., Chakraborty, A., Karmakar, R., Saha, G.K., Aditya, G.",Urban Bird Assemblages: Characterization Based on Diversity and Ecological Network,Ecology of Tropical Cities,2025,book chapter,10.1007/978-3-031-70867-1_20,https://doi.org/10.1007/978-3-031-70867-1_20,
4,"Limparungpatthanakij , W. L."," Javan Pied Starling (Gracupica jalla), version 1.0.",Birds of the World,2022,website,10.2173/bow.aspsta3.01,https://doi.org/10.2173/bow.aspsta3.01,
5,"Adhurya, S., Gayen, D., Chakrabarty, M., Roy, U.S.","A study of avian diversity in Durgapur Government College Campus, West Bengal, India",The Holistic Approach to Environment,2023,journal,10.33765/thate.13.2.2,https://doi.org/10.33765/thate.13.2.2,
5,"Adhurya, S., Bhandary, S.","Report of five interesting avian species from Durgapur ecoregion, West Bengal, India by citizen science effort",Journal of Threatened Taxa,2019,journal,10.11609/jott.3980.11.12.14496-14502 ,https://doi.org/10.11609/jott.3980.11.12.14496-14502 ,
6,"Nandakrishnan, , Prasad, P.R.C.","Geoscape characterization of Ashtamudi, Sasthamkotta, and Vembanad Ramsar sites in Kerala, India",Water Resources,2024,journal,10.1134/S009780782360273X,https://doi.org/10.1134/S009780782360273X,
6,"Adhurya, S., Das, S., Ray, S.",Simulating the effects of aquatic avifauna on the Phosphorus dynamics of aquatic systems,Ecological Modelling,2021,journal,10.1016/j.ecolmodel.2021.109495,https://doi.org/10.1016/j.ecolmodel.2021.109495,
6,"Adhurya, S., Gayen, D., Chakrabarty, M., Roy, U.S.","A study of avian diversity in Durgapur Government College Campus, West Bengal, India",The Holistic Approach to Environment,2023,journal,10.33765/thate.13.2.2,https://doi.org/10.33765/thate.13.2.2,
6,"Pant, S.R., Bhattarai, B.P., Pant, R.R., Baral, H.S., Thapa, T.B.","Seasonal variations on physical features, water quality and vegetation in three key lakes of Far Western Nepal",Nepal Journal of Environmental Science,2025,journal,10.3126/njes.v13i2.80880,https://doi.org/10.3126/njes.v13i2.80880,
6,"Rather, H.A., Gautam, V.","A study of winter avifaunal diversity in Upper Lake, in the City of Bhopal, Madhya Pradesh, India",Journal of Animal Diversity,2023,journal,10.22034/JAD.2023.5.4.5,https://doi.org/10.22034/JAD.2023.5.4.5,
6,"Nayak, A.","Wintering of Leaf Warblers (Phylloscopus Boie, 1826) in Gangajalghati: First photographic evidence of four species from Northern Bankura, West Bengal, India",Journal of Tropical Life Science,2022,journal,10.11594/jtls.12.01.13,https://doi.org/10.11594/jtls.12.01.13,
6,"Ray, R.S.",Integration of Ecological and Geospatial Methods to Understand the Relationship between Major Attributes of Wetlands and their Dependent Water Birds in West Bengal: A Review,Annals of the Romanian Society for Cell Biology,2021,journal,NA,,
6,"Shahbaz, M., Alam, A., Zafar, M.M., Sulaiman, M.A., Kumari, A., Sharma, G., Yasmin, S.","Comparison of avian diversity between managed and unmanaged wetlands in Patna, Bihar, India",Ornis Hungarica,2023,journal,10.2478/orhu-2023-0016,https://doi.org/10.2478/orhu-2023-0016,
6,"Limparungpatthanakij , W. L."," Javan Pied Starling (Gracupica jalla), version 1.0.",Birds of the World,2022,website,10.2173/bow.aspsta3.01,https://doi.org/10.2173/bow.aspsta3.01,
7,"Adhurya, S., Gayen, D., Chakrabarty, M., Roy, U.S.","A study of avian diversity in Durgapur Government College Campus, West Bengal, India",The Holistic Approach to Environment,2023,journal,10.33765/thate.13.2.2,https://doi.org/10.33765/thate.13.2.2,
7,"Gayen, D., Chatterjee, P., Bhattacharya, T.",A survey on the mammal species from a peri-urban coal mining plateau of Eastern India,Journal of Animal Diversity,2021,journal,10.52547/JAD.2021.3.3.5,https://jad.lu.ac.ir/article_705828.html,
8,"Das, S., Saha, P., Adhurya, S., Ray, A., Ray, S.",Present and future scenarios of changing land use patterns from the perspective of agroecosystem under the shadow of ever-expanding shrimp culture,Environmental Development,2022,journal,10.1016/j.envdev.2022.100772,https://doi.org/10.1016/j.envdev.2022.100772,
8,"Supriyono, E., Nirmala, K., Sabilu, K., Iba, W.I.W., Sabilu, M.",Capability of Sea Cucumber <i>Holothuria scabra</i> to remove nitrogen and phosphor waste from shrimp ponds culture,Indonesian Aquaculture Journal,,journal,10.15578/iaj.18.1.2023.17-25,https://doi.org/10.15578/iaj.18.1.2023.17-25,
8,"Hogestijn, J.","The Effectiveness of Policy Implementation in the Forest Management Zones in Ca Mau, Vietnam.",University of Twente,2023,Thesis,NA,https://www.researchgate.net/publication/374232888_The_Effectiveness_of_Policy_Implementation_in_the_Forest_Management_Zones_in_Ca_Mau_Vietnam,
9,"van der Vegt, W., Bokhorst, S.",Bird traits and their nutrient impact on terrestrial invertebrate populations,Polar Biology,2024,journal,10.1007/s00300-023-03161-5,https://doi.org/10.1007/s00300-023-03161-5,
9,"Crocker, R., Blake, W.H., Hutchinson, T.H., Comber, S.",Spatial distribution of sediment phosphorus in a Ramsar wetland,Science of The Total Environment,2021,journal,10.1016/j.scitotenv.2020.142749,https://doi.org/10.1016/j.scitotenv.2020.142749,
9,"Boros, E., Takács, A., Dobosy, P. and Vörös, L.",Extreme guanotrophication by phosphorus in contradiction with the productivity of alkaline soda pan ecosystems,Science of the total Environment,2021,journal,10.1016/j.scitotenv.2021.148300,https://doi.org/10.1016/j.scitotenv.2021.148300,
9,"Labat, F., Thiébaut, G. and Piscart, C.",Principal determinants of aquatic macroinvertebrate communities in small shallow lakes and ponds,Biodiversity and Conservation,2024,journal,10.1007/s10531-024-02911-z,https://doi.org/10.1007/s10531-024-02911-z,
9,"Boros, E., Inelova, Z., Lánczos, Z., Végvári, Z.",Waterbird guilds predict environmental attributes of inland saline aquatic ecosystems on multi-spatial scales,Science of the Total Environment,2023,journal,10.1016/j.scitotenv.2022.158845,https://doi.org/10.1016/j.scitotenv.2022.158845,
9,"Labat, F., Usseglio-Polatera, P.",A new bioassessment multimetric index (BECOME) and diagnostic tool (BECOMEd) for small standing waters,Ecological Indicators,2023,journal,10.1016/j.ecolind.2023.110831,https://doi.org/10.1016/j.ecolind.2023.110831,
9,"Crocker, R., Blake, W.H., Hutchinson, T.H., Comber, S.",Aquatic phosphorus behaviour within a UK Ramsar wetland: Impacts of seasonality and hydrology on algal growth and implications for management,Science of The Total Environment,2023,journal,10.1016/j.scitotenv.2023.164606,https://doi.org/10.1016/j.scitotenv.2023.164606,
9,"Adhurya, S., Das, S., Ray, S.",Simulating the effects of aquatic avifauna on the Phosphorus dynamics of aquatic systems,Ecological Modelling,2021,journal,10.1016/j.ecolmodel.2021.109495,https://doi.org/10.1016/j.ecolmodel.2021.109495,
9,"Boros, E., Vegvari, Z., Kiss, A., Dobosy, P., Inelova, Z., Zaparina, Y., Gavrilov, A., Vörös, L.",Waterbirds as ecosystem flagships of Eurasian inland saline waters: Dual control indicators of trophic structure,Ecological Indicators,2025,journal,10.1016/j.ecolind.2025.113197,https://doi.org/10.1016/j.ecolind.2025.113197,
9,"Mukherjee, A., Pal, S., Adhurya, S., Mukhopadhyay, S.K.",Guanotrophy: Waterbirds Pay for Using Resources at Their Wintering Habitats,Integrative Conservation,2024,journal,10.1002/inc3.80,https://doi.org/10.1002/inc3.80,
9,"Mukherjee, A., Pal, S., Das, P., Mukhopadhyay, S.K.","Mid-winter diversity of waterbirds in West Bengal, India",Journal of the Bombay Natural History Society (JBNHS),2021,journal,10.17087/jbnhs/2021/v118/147142,https://doi.org/10.17087/jbnhs/2021/v118/147142,https://www.allresearchjournal.com/archives/2024/vol10issue9/PartC/10-9-45-811.pdf
9,"Boros, E.",Generalized estimation of nutrient loading of waterbirds on inland aquatic ecosystems,MethodsX,2021,journal,10.1016/j.mex.2021.101465,https://doi.org/10.1016/j.mex.2021.101465,
9,"Delfino, H.C., Carlos, C.J.",Flamingos as ecosystem engineers: flock size and foraging behaviors linked to nutrient availability,Behavioral Ecology,2024,journal,10.1093/beheco/arae062,https://doi.org/10.1093/beheco/arae062,
9,"Vidya, P.V., Rajathy, S., Ratheesh Kumar, C.S.","Hydrogeochemical characteristics of Thrissur Kole Wetland, Southwest India",nternational Journal of River Basin Management,2025,journal,10.1080/15715124.2024.2328319,https://doi.org/10.1080/15715124.2024.2328319,
9,"Adhurya, S., Das, S., Ray, S.",Nitrogen and phosphorous loading by aquatic avifauna in a shallow eutrophic freshwater lake,"Energy, Ecology and Environment",2022,journal,10.1007/s40974-021-00228-z,https://doi.org/10.1007/s40974-021-00228-z,
9,"García-Rodríguez, F., Costa, A.P.T., Frantz, A.M., Silva, C.F., Martins, K.P., Moraes, A.L., Alves, F.L., Bugoni, L., Palma-Silva, C., Albertoni, E.F., Mattos, P.H.",The combined use of paleolimnological and long-term limnological information to identify natural and anthropogenic environmental changes,Acta Limnologica Brasiliensia,2022,journal,10.1590/S2179-975X3322,https://doi.org/10.1590/S2179-975X3322,
9,"Krylov, A.V., Sharov, A.N., Anufrieva, T.N., Sabitova, R.Z., Chalova, I.V., Gladyshev, M.I.",Impact of Gooselike Birds on Phyto-and Zooplankton of Lakes in the Taimyr Peninsula,Contemporary Problems of Ecology,2024,journal,10.1134/S1995425524700525,https://doi.org/10.1134/S1995425524700525,
9,"Chen, C.F., Chen, Y.M., Lin, J.Y.","Assessing the effects of migratory waterbird droppings on potential lake eutrophication using water quality models: a case study of Yangming Lake on Kinmen Island, Taiwan",Inland Waters,2023,journal,10.1080/20442041.2023.2218983,https://doi.org/10.1080/20442041.2023.2218983,
9,"Crettaz-Minaglia, M.C., Gianello, D.",Bacteriological and eutrophication risk assessment of an Argentinian temperate shallow urban lagoon,Environmental Science and Pollution Research,2023,journal,10.1007/s11356-023-28962-3,https://doi.org/10.1007/s11356-023-28962-3,
9,"Crocker, R.",Phosphorus fate and management on the Somerset Levels and Moors Ramsar ditch systems,University of Plymouth,2023,Thesis,10.24382/5100,https://doi.org/10.24382/5100,
9,"Rather, H.A., Gautam, V.","A study of winter avifaunal diversity in Upper Lake, in the City of Bhopal, Madhya Pradesh, India",Journal of Animal Diversity,2023,journal,10.22034/JAD.2023.5.4.5,https://doi.org/10.22034/JAD.2023.5.4.5,
9,"Chavan, S., Lad, B., Sukare, V., Jadhav, M.",Antibiotic spectrum of bacteria isolated from gut sample ofColumba livia (Rock dove) species,"Bulletin of Environment, Pharmacology and Life Sciences",2023,journal,NA,bepls.com/spl_(1)jan2023/86.pdf,
9,"Michael, T.",Direct and indirect animal-mediated biogeochemical effects on nutrient dynamics in coastal Lake Erie ecosystems,Kent State University,2024,Thesis,NA,http://rave.ohiolink.edu/etdc/view?acc_num=kent1713790993717644,
9,"Mohallal, E.M.","Diversity and abundance of migratory waterbird communities in natural and artificial agricultural wastewater habitats of New Valley Governorate, Egypt",African Journal of Biological Sciences,2024,journal,10.21608/AJBS.2024.285904.1076,https://doi.org/10.21608/AJBS.2024.285904.1076,
9,"Pavani, P., Reddy, A., Chari, T.J., Ramkumar, D.","Assessing aquatic avifaunal diversity and its impact on invertebrate fish population in Komati Cheruvu, Siddipet, Telangana",International Journal of Applied Research ,2024,journal,NA,allresearchjournal.com/archives/2024/vol10issue9/PartC/10-9-45-811.pdf,
9,"McPherson, J.",Factors influencing zooplankton communities in small freshwater lochs,Middlesex University of London,2023,Thesis,NA,https://repository.mdx.ac.uk/item/12qw41,
9,"Adhurya, S., Ray, S.",Scenario analysis with a simulation model of the effect of waterbirds on phosphorus dynamics of a shallow freshwater ecosystem,Environmental Challenges,2022,journal,10.1016/j.envc.2022.100618,https://doi.org/10.1016/j.envc.2022.100618,
9,"Taylor, K.E., Whelan, K.R.T., Muxo, R.","Assessment of Ecosystem Health in Biscayne National Park, Florida According to Double-Crested Cormorant ( Nannopterum Auritum) Nesting Trends",Environmental and Sustainability Indicators,2025,journal,NA,,
9,"Magri, M.",New experimental data to implement ecological network analysis of nitrogen and phosphorus in two eutrophic lagoons.,Klaipeda University,2022,Thesis,NA,https://www.repository.unipr.it/bitstream/1889/4841/7/PhD_Thesis_Monia%20Magri_Italian.pdf,
9,"Adhurya, S.","Guanotrophication by aquatic avifauna on the dynamics of freshwater ecosystem of Ballavpur, India: a modelling approach",Visva-Bharati University,2022,Thesis,10.13140/RG.2.2.32145.51041,https://doi.org/10.13140/RG.2.2.32145.51041,
9,"Chakraborty, A., Barman, H., Saha, G.K., Aditya, G.","Wintering waterbird assemblage in an emerging wetland of West Bengal, India: characterization for conservation management",Ornis Hungarica,2021,journal,10.2478/orhu-2021-0001,https://doi.org/10.2478/orhu-2021-0001,
10,"Naik, P.A., Owolabi, K.M., Yavuz, M., Zu, J.",Chaotic dynamics of a fractional order HIV-1 model involving AIDS-related cancer cells,"Chaos, Solitons & Fractals",2020,journal,10.1016/j.chaos.2020.110272,https://doi.org/10.1016/j.chaos.2020.110272,
10,"Alonso Chavez, V., Milne, A.E., van den Bosch, F., Pita, J., McQuaid, C.F.",Modelling cassava production and pest management under biotic and abiotic constraints,Plant molecular biology,2022,journal,10.1007/s11103-021-01170-8,https://doi.org/10.1007/s11103-021-01170-8,
10,"Bugalia, S., Tripathi, J.P., Wang, H.",Mathematical modeling of intervention and low medical resource availability with delays: Applications to COVID-19 outbreaks in Spain and Italy,Mathematical Biosciences and Engineering,2021,journal,10.3934/mbe.2021295,https://doi.org/10.3934/mbe.2021295,
10,"Santra, N., Sahoo, D., Mondal, S., Samanta, G.",An epidemiological multi-delay model on cassava mosaic disease with delay-dependent parameters,Filomat,2023,journal,10.2298/FIL2309887S,https://doi.org/10.2298/FIL2309887S,
10,"Pathak, S., Kota, V.R.",An influential study of a time-delayed epidemic model incorporating vaccination and treatment interventions,Advances in Continuous and Discrete Models,2025,journal,10.1186/s13662-025-03920-0,https://doi.org/10.1186/s13662-025-03920-0,
10,"Chen-Charpentier, B.",Delays and exposed populations in infection models,Mathematics,2023,journal,10.3390/math11081919,https://doi.org/10.3390/math11081919,
10,"Alhakami, H., Umar, M., Sulaiman, M., Alhakami, W., Baz, A.",A numerical study of the dynamics of vector-born viral plant disorders using a hybrid artificial neural network approach,Entropy,2022,journal,10.3390/e24111511,https://doi.org/10.3390/e24111511,
10,"Anwar, N., Ghaffar, A., Raja, M.A.Z., Ahmad, I., Shoaib, M., Kiani, A.K.",Stochastic supervised neuro-architecture design for analyzing vector-borne plant virus epidemics with latency and incubation effects,The Europian Physical Journal Plus,2024,journal,10.1140/epjp/s13360-024-05883-9,https://doi.org/10.1140/epjp/s13360-024-05883-9,
10,"Agouanet, F.P., Tankam-Chedjou, I., Etoua, R.M., Tewa, J.J.",Mathematical modelling of banana black sigatoka disease with delay and seasonality,Applied Mathematical Modelling,2021,journal,10.1016/j.apm.2021.06.030,https://doi.org/10.1016/j.apm.2021.06.030,
10,"Chen-Charpentier, B.",Stochastic modeling of plant virus propagation with biological control,Mathematics,2021,journal,10.3390/math9050456,https://doi.org/10.3390/math9050456,
10,"Al Basir, F., Blyuss, K., Venturino, E.",Stability and bifurcation analysis of a multi-delay model for mosaic disease transmission,AIMS Mathematics,2023,journal,10.3934/math.20231252,https://doi.org/10.3934/math.20231252,
10,"Yusop, M.S.M., Lanisa, N., Talip, N., Mat Saad, M.F., Abas, A., Sarian, M.N., Hamezah, H.S., Harun, S., Bunawan, H.","The complete genome sequence, molecular detection, and anatomical analysis of Hibiscus chlorotic ringspot virus infecting Hibiscus rosa-sinensis in Peninsular Malaysia",Horticulturae,2023,journal,10.3390/horticulturae9050569,https://doi.org/10.3390/horticulturae9050569,
10,"Tresna, S.T., Anggriani, N., Supriatna, A.K.",Study of mathematical modeling for plant disease transmission: a systematic literature review during 2012-2022,Jambura Journal of Biomathematics (JJBM),2023,journal,10.34312/jjbm.v4i1.18443,https://doi.org/10.34312/jjbm.v4i1.18443,
10,"Guo, J., Gao, S., Yan, S., Liao, Z.",Bifurcation and optimal control analysis of delayed models for huanglongbing,International Journal of Biomathematics,2022,journal,10.1142/S1793524522500498,https://doi.org/10.1142/S1793524522500498,
10,"Qiu, G., Tang, S. He,, M.",Analysis of a High?Dimensional Mathematical Model for Plant Virus Transmission with Continuous and Impulsive Roguing Control,Discrete Dynamics in Nature and Society,2021,journal,10.1155/2021/6177132,https://doi.org/10.1155/2021/6177132,
10,"Mbajoun, A.N., Ayissi, R.D., Mutua, S.",Stability and Hopf bifurcation analysis of cryptosporidiosis transmission dynamics with time delays,Communications in Mathematical Biology and Neuroscience,2024,journal,10.28919/cmbn/8473,https://doi.org/10.28919/cmbn/8473,
10,"Zhang, F., Qiu, Z., Feng, T., Dai, Y., Fan, G.",Modeling the importation and local transmission of Huanglongbing disease: bifurcation and sensitivity analysis,International Journal of Bifurcation and Chaos,2022,journal,10.1142/S0218127422501176,https://doi.org/10.1142/S0218127422501176,
10,"Al Basir, F., Ray, S.","Modeling the transmission dynamics of plant viral disease using two routes of infection, nonlinear terms and incubation delay",International Journal of Biomathematics,2022,journal,10.1142/S1793524522500322,https://doi.org/10.1142/S1793524522500322,
10,"Qiu, G., Tang, S.",Dynamics of plant disease models with continuous and pulse farming awareness control,Discrete and Continuous Dynamical Systems-B,2023,journal,10.3934/dcdsb.2022178,https://doi.org/10.3934/dcdsb.2022178,
10,"Chouop Kawe, P., Abonyo, O.J., Malonza, D., Ateka, E.M.",Stability and Hopf bifurcation analysis of a delayed eco-epidemiological model of IYSV disease dynamics in onion plants with nonlinear saturated incidence and logistic growth,Communications in Mathematical Biology and Neuroscience,2022,journal,10.28919/cmbn/7585,https://doi.org/10.28919/cmbn/7585,
10,"Zhang, F., Qiu, Z., Huang, A., Cheng, Y., Fan, G.",Global dynamics and bifurcation analysis of an insect-borne plant disease model with two transmission routes,International Journal of Biomathematics,2022,journal,10.1142/S1793524522500553,https://doi.org/10.1142/S1793524522500553,
10,"Bannerjee, A., Fath, B.D., Scharler, U.M., Ray, S.",Ecological Modeling in Environmental Management: History and Applications,Treatise on Estuarine and Coastal Science (Second Edition),2024,book chapter,10.1016/B978-0-323-90798-9.00097-4,https://doi.org/10.1016/B978-0-323-90798-9.00097-4,
10,"Al Basir, F., Takeuchi, Y., Ray, S.",Dynamics of a delayed plant disease model with Beddington-DeAngelis disease transmission,Mathematical Biosciences and Engineering,2021,journal,10.3934/mbe.2021032,https://doi.org/10.3934/mbe.2021032,
